ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
27,TR028,Giresun,TUR,Turkey,18520.73,21371.4,14219.15,23606.85,24928.480000000003,25131.739999999998,15690.880000000001,18894.77,18137.21,21721.93,18163.02,18788.79,25188.769999999997,8156.31,19906.21,14564.81,10303.369999999999,8066.9800000000005,19687.58,14089.599999999999,15954.169999999998
28,TR029,Gumushane,TUR,Turkey,29810.04,43711.68000000001,47093.51,51878.649999999994,55117.5,57699.26,20697.96,38570.04,49923.35999999999,39902.18,27683.03,48043.67,43967.189999999995,35640.15,36582.799999999996,45732.78,47826.71000000001,47287.72,51279.67999999999,32670.519999999997,29525.18
29,TR030,Hakkari,TUR,Turkey,39538.979999999996,38388.399999999994,32201.89,39800.28,41387.03,42922.770000000004,35392.68,38705.06,38943.049999999996,42514.590000000004,39423.21,33000.090000000004,34704.869999999995,32395.91,33124.600000000006,32641.769999999997,35872.119999999995,32669.85,38470.79,35478.82,19975.920000000002
30,TR031,Hatay,TUR,Turkey,184393.37,172393.54,167148.12,309163.24,165809.04,153460.96,145232.69000000003,278087.12000000005,187308.66,282247.93,175314.18,156346.72,272187.67000000004,181201.53999999998,176148.71000000002,272535.06,197522.87000000002,186429.02999999997,288187.89,286041.66,214559.46
31,TR032,Isparta,TUR,Turkey,171987.45,163506.40999999997,163709.68,169877.66,154937.97,178655.16999999998,164993.51,157675.2,160366.83000000002,168278.92,173013.17,197095.72999999998,156539.94,168819.22000000003,165651.1,169775.4,170783.15,168189.6,151624.18000000002,149496.66,120328.26999999999
32,TR033,Mersin,TUR,Turkey,133325.13,161193.39,141905.59000000003,145358.5,122712.39000000001,135211.71,149154.74,129877.25,142864.78,149847.51,144965.59,132194.25,142656.63000000003,138235.51,134161.2,154509.3,152213.3,155122.88999999998,150787.22,132621.02,107813.16
33,TR034,Istanbul,TUR,Turkey,128285.71,93761.62000000001,96781.72000000002,115465.48000000001,104916.51999999999,112627.48000000001,108284.68999999999,100699.95999999999,104895.65000000001,108826.21,109610.53,106954.04000000001,100928.65,113791.17,104401.69,104432.23000000001,107697.0,106353.72,99509.19,106990.64,97521.18000000001
34,TR035,Izmir,TUR,Turkey,354864.96,289617.23,339847.73000000004,352942.4,343006.72000000003,346630.04,361023.85000000003,306490.5800000001,294663.14999999997,274467.61000000004,344641.95,331005.68,342728.08999999997,302455.44,252925.37,383135.4,301738.50999999995,309342.47,290132.81,310367.26,330766.68
35,TR036,Kars,TUR,Turkey,394005.52999999997,358515.58999999997,431867.06000000006,410645.13,388133.92000000004,363796.59,360144.87,362554.51999999996,292135.25,425119.23,383989.38,468135.6,452918.62,390591.67,377672.26999999996,388295.52999999997,372064.83999999997,378345.53,425967.9200000001,358753.04,242536.61000000002
36,TR037,Kastamonu,TUR,Turkey,197365.31,180619.07,169332.40000000002,188034.23,115200.63,219810.88,123913.23,146214.51,149466.35,127482.18000000001,180364.85,185993.79,129873.39,139092.29,162256.81,145135.56,138804.85,141411.09000000003,151105.62,150932.61000000002,97829.81
