ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual,LTA,2003_annual_anomaly,2004_annual_anomaly,2005_annual_anomaly,2006_annual_anomaly,2007_annual_anomaly,2008_annual_anomaly,2009_annual_anomaly,2010_annual_anomaly,2011_annual_anomaly,2012_annual_anomaly,2013_annual_anomaly,2014_annual_anomaly,2015_annual_anomaly,2016_annual_anomaly,2017_annual_anomaly,2018_annual_anomaly,2019_annual_anomaly,2020_annual_anomaly,2021_annual_anomaly,2022_annual_anomaly,2023_annual_anomaly
10,TR011,Bilecik,TUR,Turkey,95783.42,73775.85999999999,113028.6,140062.55,52696.990000000005,148698.18999999997,57929.46,97002.62,87707.62000000002,88828.05,85123.69000000003,68604.32999999999,26773.25,102565.32,69081.28,104064.02999999998,29475.870000000003,96407.03,110534.16,86385.72999999998,99015.09,86726.40250000001,10.44320672704023,-14.93264118732473,30.327785705166306,61.499319656433315,-39.23766179509175,71.45665646629348,-33.204354925248985,11.84900699645645,1.1313942141206805,2.423307596553416,-1.8480098952564985,-20.895681104724737,-69.12906654925528,18.2630860308082,-20.345733238502554,19.991175697619845,-66.01280676896519,11.162261111891487,27.451568165761277,-0.39281290377521383,14.169488351600867
11,TR012,Bingol,TUR,Turkey,111296.27,98573.11,119361.88,115247.47000000002,95380.84,132774.72999999998,119346.42,113929.38,99499.27,102856.55000000002,99583.2,124134.96,113826.5,87601.97999999998,102589.48,92449.47,93487.26,93863.34999999998,93142.38,109424.23,122113.34,105918.4365,5.077334671570618,-6.934889470352025,12.692260143020528,8.807752274553279,-9.948784034401791,25.35563626829026,12.677664006114744,7.563313587998449,-6.060480792689941,-2.8907965422997712,-5.9812405746755894,17.198633308753582,7.466182244863484,-17.29298232229855,-3.1429433911630675,-12.716356986632817,-11.736555892231285,-11.381480786869451,-12.062164928199248,3.309899216648652,15.28997598071607
12,TR013,Bitlis,TUR,Turkey,207168.37,215120.34,181150.42000000004,172742.24999999997,166909.83000000002,178442.1,192842.04,153675.96,197468.61,170793.43,180738.21,195641.36,215532.97,150825.74000000002,159348.75999999998,184875.1,148634.45,154994.88999999998,160067.38,165696.59,199502.47,177633.44,16.62689750308275,21.103515193985995,1.979908737904327,-2.7535299659793964,-6.036932010098991,0.45524086005428005,8.56178881633999,-13.487032621785634,11.166349083821144,-3.850631953082713,1.747852206206213,10.137685787090529,21.335808167651315,-15.091584107136574,-10.29348978435593,4.076743658176075,-16.32518629375189,-12.744531660254971,-9.888937578419918,-6.71993403944663,12.311324939718556
13,TR014,Bolu,TUR,Turkey,127068.83,124257.68000000002,127412.31,186319.13,80785.11,184975.14,93117.03999999998,60402.59,105010.58999999998,124877.72000000002,120304.18,119147.92,29646.220000000005,135517.37000000002,94025.54,120038.89,54183.04,109991.88,113924.69,108518.47,131125.59,110976.21699999999,14.500956542787916,11.967846227809362,14.81046429975173,67.89104461904664,-27.20502447835286,66.67998333372638,-16.092796711569303,-45.57159035255275,-5.375590519543487,12.526560533235717,8.405371215708321,7.363472301457176,-73.28596991191365,22.113884995737454,-15.274152839432254,8.166319996292549,-51.1759893563501,-0.8869801355726381,2.656851242280148,-2.214661002546148,18.156478518275684
14,TR015,Burdur,TUR,Turkey,181757.17,199044.52,208440.83,226626.11,206138.92,239481.61000000004,213440.24,173933.99000000002,200931.98,211569.48,204816.7,244532.38,207880.61,196308.15,209596.65,183550.91999999995,216086.05000000005,215646.26000000004,164455.30000000005,211624.89,204020.54,205793.138,-11.679674178446122,-3.2793211987466835,1.2865793416299338,10.123258823139174,0.16802406696379085,16.370065750200105,3.7159169029241315,-15.481151757353533,-2.3621574787396438,2.8068681279353465,-0.4744754900428189,18.82436041186174,1.014354521383497,-4.608991384348302,1.8482210033650335,-10.808046476262998,5.001581733983784,4.787876843590398,-20.087082786987757,2.83379322395094,-0.8613494197265207
15,TR016,Bursa,TUR,Turkey,270973.31000000006,322782.24,303715.33,346613.04,204771.63,384539.15,231030.69,276410.4,281756.80000000005,300377.87,305514.93999999994,266486.08,296382.43999999994,109912.98,192806.31999999995,180181.21,282649.47000000003,229451.09999999995,200910.54999999996,220659.99,262692.69,260396.27699999994,4.061898703720758,23.958085621938466,16.63581887539816,33.1098293697955,-21.361536977734882,47.67459597742256,-11.27726837661352,6.149904746910066,8.203083103219678,15.35413388417994,17.326923226325547,2.338667461055933,13.819768629026907,-57.79011080100811,-25.956575792364344,-30.804997645953275,8.545895224147191,-11.883878431948549,-22.844307793233156,-15.259929004284482,0.8818916408701416
16,TR017,Canakkale,TUR,Turkey,252284.02000000005,297596.73000000004,306449.62,351469.36,249097.3,336925.36,251844.91,215292.58,214529.18000000005,325833.41,324447.84,189676.8,286637.8,196975.15,307512.48999999993,222031.7,207169.44,165088.82000000004,129719.50999999998,224607.93,142943.31000000003,252759.49749999997,-0.1881145930035412,17.739089111775147,21.24158460158358,39.052879704352165,-1.4488862085192191,33.29879325306066,-0.3618410026313512,-14.823149227063166,-15.12517546447485,28.910451722986203,28.36227449771697,-24.957597290681427,13.403374684268798,-22.07012913530578,21.66209105554974,-12.156930918095357,-18.036931530139622,-34.68541374988291,-48.67868021457829,-11.13768929691751,-43.44690845889973
17,TR018,Cankiri,TUR,Turkey,279374.66,199373.49000000005,284341.7,346894.24000000005,178567.93000000002,291869.96,276029.31000000006,264095.08,167283.53999999998,186256.06,221769.03000000003,385340.32000000007,150654.66999999995,182876.19,254946.74,312404.84,77204.79,200613.01999999996,289182.77,248266.27000000005,281876.06,239867.2305,16.47054056431438,-16.881730954074595,18.54128611369447,44.61927095122735,-25.555512677668567,21.67979735773037,15.075873192274194,10.100524965205704,-30.259944365347575,-22.350352062784168,-7.545090866424115,60.64733777797132,-37.19247531813232,-23.759410729511885,6.286606748477877,30.24073332101111,-67.81353174459569,-16.364974247701603,20.559515110589484,3.501536863744313,17.513367462672228
18,TR019,Corum,TUR,Turkey,864497.5800000001,581879.9299999999,583927.46,789289.68,557186.8500000001,743534.44,540632.7200000001,599621.2700000001,285272.94999999995,400126.74,447985.05,813327.1499999999,478158.6700000001,442503.87,581149.2400000001,243362.99,494120.76000000007,370109.22,613274.39,515414.2899999999,591716.1199999999,547268.7625,57.96581848575729,6.324345526664329,6.6984816258355355,44.22341161852813,1.8122882538906357,35.86275902235513,-1.2125746899358,9.56614210188914,-47.873335818248904,-26.88661085420529,-18.141673580355313,48.615672176246306,-12.628181477834644,-19.143225354471053,6.190829775342816,-55.531357410519114,-9.711499384180527,-32.37157949427088,12.06091632171315,-5.820626844200711,8.121669012672713
19,TR020,Denizli,TUR,Turkey,263686.60000000003,421711.4900000001,425677.5400000001,458733.03,462762.65,461553.63000000006,352506.94000000006,249387.84,344895.96,429361.72,339809.48999999993,234201.63,257925.28,438038.25,415427.22000000015,266529.96,349168.47000000003,458404.51,415317.70000000007,386560.9199999999,428567.61,371583.04149999993,-29.036966020958715,13.490510303603342,14.55784911002193,23.45370449313148,24.53815118470634,24.212781115308285,-5.133738456683545,-32.88503183749303,-7.181996625106993,15.549331386803896,-8.550861571006331,-36.97192717553015,-30.587445821313125,17.884349143527874,11.799294801778574,-28.271764253805415,-6.032183656583776,23.36529356924382,11.769820905564696,4.030829404791336,15.335621418557139
