ID,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
47,TR048,Mugla,TUR,Turkey,78225.31000000001,95084.57999999999,105796.55999999998,79466.07,59899.97,97693.06999999998,103271.76000000001,63778.70000000001,73758.96999999999,83928.98999999999,74309.98,71196.97,84857.99,80042.66000000002,96356.15,63192.59999999999,79757.42,71022.62999999999,69660.14,69378.29,86805.74
48,TR049,Mus,TUR,Turkey,522397.02,467668.93,477878.41000000003,531715.8099999999,410669.52999999997,654874.8699999999,506017.0399999999,590016.16,502537.98,489243.64,450642.48000000004,633150.0,570757.2,361124.58999999997,424133.74000000005,517621.34,397091.65,468061.73000000004,508005.64999999997,437234.34,570822.3200000001
49,TR050,Nevsehir,TUR,Turkey,510042.19999999995,595192.34,539016.14,605646.3,443118.26999999996,488948.81999999995,445603.4699999999,514496.86,393276.3900000001,364530.3900000001,418006.12999999995,525683.76,383681.53,401639.75999999995,402076.70000000007,487790.97,194065.06,344411.5899999999,503846.45,415796.08999999997,435325.67
50,TR051,Nigde,TUR,Turkey,235804.24000000002,303019.47,245728.37999999998,289715.62,263382.58,272441.32,257806.93,277587.66000000003,277918.60000000003,281056.44999999995,268069.8900000001,298316.49999999994,284017.04000000004,201529.00999999995,248418.25999999998,285375.7,246806.96000000002,201878.59,201139.6,258266.3,275182.66
51,TR052,Ordu,TUR,Turkey,731.8,608.41,1448.6399999999999,2742.3600000000006,863.49,788.3800000000001,1042.1999999999998,2657.3899999999994,278.93,1153.1699999999998,683.93,730.63,191.47,1484.04,432.78999999999996,2600.39,642.29,83.33000000000001,2151.2799999999997,1939.44,3145.35
52,TR053,Rize,TUR,Turkey,0.0,3.5999999999999996,19.43,1.8599999999999999,5.79,4.8100000000000005,9.33,0.23,31.77,16.82,1.37,2.58,2.0300000000000002,3.13,3.03,9.23,2.42,0.0,17.75,15.82,2.94
53,TR054,Sakarya,TUR,Turkey,92975.84999999998,86627.93,83733.52,112153.98000000001,69468.91,117802.01,100432.01000000001,87453.63,79159.35,96532.66000000002,80242.29000000001,64224.4,66933.05999999998,63575.16,77608.34000000003,78311.15000000001,62013.34,91077.09000000001,86477.95,91571.38,84979.28
54,TR055,Samsun,TUR,Turkey,302119.99999999994,277429.74999999994,263045.77999999997,328708.14,267060.3,337777.70999999996,129580.21999999999,267966.99,240354.15999999997,262744.81,157249.36000000002,191114.93000000002,200400.86000000002,77110.85000000002,228582.26,261338.65999999995,132099.06,240654.83999999997,262602.38,276747.43999999994,242080.69
55,TR056,Siirt,TUR,Turkey,84235.05,137335.0,107592.04999999999,151119.01,99061.86000000002,102550.78,55328.15,83603.60999999999,141800.34,120979.4,96201.7,79377.43999999999,60962.03,123221.59,115873.3,90215.79,79842.28,70306.49999999999,124394.09,122937.00000000001,104310.68
56,TR057,Sinop,TUR,Turkey,47364.89,39208.700000000004,42015.979999999996,47202.369999999995,43684.17,47518.21,19121.829999999998,38256.030000000006,35465.11,39139.73,28659.149999999998,43500.30999999999,29107.83,30893.43,18554.99,27827.84,23606.74,29129.680000000008,40424.71999999999,41855.42999999999,37770.76
57,TR058,Sivas,TUR,Turkey,1170063.1,1378577.4400000002,1336138.4499999997,1474048.9700000002,1388047.49,1352819.1700000002,1147803.09,1628646.29,1103212.2400000002,1218723.18,990738.1000000001,1641430.22,1169469.7799999998,1180453.99,1065757.28,1476491.9100000001,1010730.0599999998,1073481.0500000003,1273698.4800000004,1092670.0299999998,1201672.44
58,TR059,Tekirdag,TUR,Turkey,528744.8499999999,356859.55,451050.4000000001,507252.86000000004,241130.83999999997,392079.01,391933.6499999999,221725.21999999997,181327.87,492993.08999999997,317597.1,102074.89,346965.77999999997,196911.19,537698.48,165754.19000000003,219444.81000000003,131930.43,87935.56999999999,137148.31999999998,89012.55
59,TR060,Tokat,TUR,Turkey,320098.35000000003,271040.64999999997,293331.8,346924.8400000001,314342.63,315471.32,103969.84999999999,317397.29000000004,218531.60000000006,276341.32999999996,176021.41999999998,231847.62999999998,288064.25999999995,199418.97,269749.49,115894.60999999997,170032.34000000003,248033.78000000003,290582.98,289844.29000000004,275959.9
60,TR061,Trabzon,TUR,Turkey,524.45,1080.5700000000002,1011.6799999999998,183.89,661.96,1089.6299999999999,346.81999999999994,967.88,1144.25,506.42,943.0599999999998,46.010000000000005,51.03000000000001,750.0200000000001,360.07,874.43,931.0600000000002,179.46999999999997,695.37,605.86,1162.4899999999998
61,TR062,Tunceli,TUR,Turkey,105652.98999999999,112280.90999999999,108208.9,108056.81,105055.76,100599.88,86363.34999999999,118951.45999999999,91750.56000000001,103087.66,84326.32999999999,139660.68999999997,118478.64,29676.54,92635.92000000001,110946.59,57926.42999999999,76191.94,90750.19,86338.09000000001,103886.34000000001
62,TR063,Sanliurfa,TUR,Turkey,1424330.52,1282054.6400000001,1436214.9999999998,1648153.8199999998,1036173.05,1914290.34,1884701.92,1038102.53,1551835.4899999998,1866501.9299999995,1429658.0199999996,851788.0299999999,1423964.3499999999,887091.5399999999,1763936.55,1489473.7499999998,1411252.4000000001,1529667.54,1334320.3299999998,1941034.3900000001,1861534.6199999999
63,TR064,Usak,TUR,Turkey,134767.80000000002,227857.54,275398.02999999997,289549.79,223872.68000000002,327560.78,171351.67000000004,139603.17,150140.34999999998,273713.17000000004,205635.97,173991.12000000002,119367.58,301417.1499999999,238481.71999999997,155629.31,64880.29,271096.8,138350.03,137538.27000000005,198231.08
64,TR065,Van,TUR,Turkey,445550.56,439823.72000000003,421423.7899999999,443374.5900000001,420308.25,473524.79999999993,469119.39,460044.5199999999,464455.29000000004,453350.02999999997,434464.81,505130.41000000003,507946.56000000006,322131.45,423190.74000000005,441810.8,401599.16,397577.13000000006,445860.41000000003,446853.78,502411.01
65,TR066,Yozgat,TUR,Turkey,1345189.84,1229350.1600000001,1113382.1300000004,1332706.4000000001,1179450.97,1171188.78,759798.3700000002,1310689.5999999999,855747.5700000001,805031.3299999998,828599.7299999999,1145342.3399999999,807704.5700000001,831452.6099999999,894466.2800000001,1104928.54,549209.0099999999,815714.1099999999,1073587.02,863707.0099999999,977921.3099999999
66,TR067,Zonguldak,TUR,Turkey,347.6,157.53,1919.7,658.3900000000001,651.9800000000001,692.47,751.9499999999999,391.22,2305.1099999999997,2312.94,502.51,178.62,1311.48,470.57,277.24,233.26999999999998,257.82,148.16,274.7300000000001,1628.95,2053.8399999999997
67,TR068,Aksaray,TUR,Turkey,556648.34,603378.09,565254.07,691700.9800000001,521008.94999999995,511168.29000000004,495385.87,469313.06,465618.20000000007,459101.18,427260.17,374269.62999999995,466830.10000000003,363648.18,484336.30000000005,448167.35000000003,214567.56,504932.83999999985,430569.84,355206.8,517683.48000000004
68,TR069,Bayburt,TUR,Turkey,48742.67,64967.62000000001,85057.67,101704.11000000002,51655.31,102418.03,42991.399999999994,90381.27999999998,95690.04000000001,115857.94,81462.5,107871.15,84026.53,49957.030000000006,49351.490000000005,85421.90000000001,80968.51,78554.45000000001,74226.95,65188.02000000001,74736.06
69,TR070,Karaman,TUR,Turkey,309613.99,329594.09,305690.57000000007,355393.81,333197.33999999997,292676.60000000003,296449.6,278257.47,265369.86,316355.63,243409.78999999998,266743.49,307946.43,290410.73000000004,282380.14999999997,304946.67,191049.43,203155.99999999997,306789.55000000005,305493.25000000006,294409.42999999993
70,TR071,Kirikkale,TUR,Turkey,407174.9,272037.21,90809.82999999999,433844.81999999995,363441.00000000006,441484.01999999996,202960.80000000002,245908.40000000002,229891.88000000003,214046.26,206333.66,368124.51999999996,216198.54000000004,229337.84,291263.44,394093.94999999995,87083.48000000001,283988.87999999995,314895.3500000001,257069.37999999998,276364.49000000005
71,TR072,Batman,TUR,Turkey,110364.26,139583.82,145156.08000000002,187699.06,156271.96,193913.72000000003,25169.33,43474.31999999999,57043.5,163089.1,113009.78999999998,33683.119999999995,54547.82,63151.79,138589.66999999998,73209.12,75614.98,79521.41000000002,39379.38,137076.39,119103.05000000002
72,TR073,Sirnak,TUR,Turkey,88366.49,136639.14,57837.979999999996,144418.34,94242.96,95046.87999999999,169733.35999999996,69086.84000000001,61689.85,173972.87000000002,50517.85999999999,44101.670000000006,55115.630000000005,69124.66,109654.74999999999,131226.87,65910.03,57666.85,62595.44000000001,72400.36,140891.7
73,TR074,Bartin,TUR,Turkey,451.35,28.59,339.48,581.18,396.28,416.19,1315.9399999999998,313.31,1263.3500000000001,2461.24,517.96,57.85,1549.1899999999998,399.63000000000005,289.77,314.96999999999997,75.74000000000001,0.0,95.86000000000001,41.260000000000005,2154.12
74,TR075,Ardahan,TUR,Turkey,50297.51,50889.58,56343.31000000001,64717.46,68547.51,67407.35,63574.259999999995,66168.48,68707.30000000002,68712.34,67833.0,68220.35999999999,43280.670000000006,46694.310000000005,67756.63,68192.03,50652.41,67631.47,61594.18,57661.36,68090.08
75,TR076,Igdir,TUR,Turkey,69759.68,20121.030000000002,33618.770000000004,36499.649999999994,52918.5,10365.800000000001,5939.280000000001,67037.10999999999,146.37,81692.6,71863.3,35343.82,79718.79,47718.01,19152.8,14671.14,79500.76000000001,84260.60000000002,54781.33000000001,60723.96,89510.03
76,TR077,Yalova,TUR,Turkey,9345.830000000002,8084.34,3480.9799999999996,5675.64,6286.0,6438.2699999999995,6046.73,7205.840000000001,7299.26,7365.85,4549.030000000001,4715.37,6333.44,3239.16,4925.63,4241.35,3487.71,3195.4399999999996,2297.4199999999996,6460.740000000001,7029.150000000001
77,TR078,Karabuk,TUR,Turkey,15756.79,28490.29,41444.7,47574.950000000004,30080.300000000007,47675.0,34300.57,12188.099999999999,29555.85,28099.44,36252.47,37551.270000000004,13311.869999999999,8821.250000000002,22707.360000000004,21684.139999999996,3827.78,4793.010000000001,27432.14,33758.45,36862.2
78,TR079,Kilis,TUR,Turkey,31294.34,70866.63,69402.38000000002,39477.04,41379.61,60245.97,63084.54,42547.57,40757.060000000005,105105.94,54836.63,40953.63,87228.86,45647.85999999999,59173.03000000001,101232.70000000001,79276.17000000001,49817.67,61017.240000000005,42471.65,83358.25
79,TR080,Osmaniye,TUR,Turkey,127639.29000000001,197434.40000000002,125883.99,98543.1,179643.40999999997,100426.65000000001,171456.66,122058.18,94455.68,93742.53000000003,119190.64000000001,121608.76000000001,106746.59,121168.79999999999,117766.6,84322.14000000001,93915.79999999999,95131.35000000002,90651.59999999999,102074.21,107189.35
80,TR081,Duzce,TUR,Turkey,854.23,1133.86,795.27,1487.8799999999999,1667.2099999999998,1869.25,5979.139999999999,2193.71,3463.8899999999994,7167.150000000001,920.6700000000001,1374.1900000000003,1165.66,805.12,385.98,1911.2000000000003,2424.72,2488.55,1779.3600000000001,4871.57,5230.370000000001
