ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
814,TR061006,Caykara,TR061,Trabzon,TUR,Turkey,0.0,0.0,15.57,11.79,0.0,0.0,0.0,0.0,0.0,18.9,8.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.78,0.0,0.04
815,TR061007,Dernekpazari,TR061,Trabzon,TUR,Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,TR061008,Duzkoy,TR061,Trabzon,TUR,Turkey,171.26999999999998,99.81,164.1,153.47,138.19,203.26,199.42000000000002,123.52,181.56,213.48000000000002,213.7,165.58,157.78,214.83999999999997,205.84000000000003,168.27,170.23,122.21,155.29,107.21,0.0
817,TR061009,Hayrat,TR061,Trabzon,TUR,Turkey,0.0,0.0,0.0,5.01,0.0,0.0,3.43,0.0,0.0,3.52,0.0,0.0,4.49,1.69,0.96,0.0,0.0,2.33,5.71,0.0,0.0
818,TR061010,Koprubasi,TR061,Trabzon,TUR,Turkey,0.0,0.0,0.0,0.0,32.68,0.0,31.18,0.0,16.97,45.99,28.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.8,41.67,0.0
819,TR061011,Macka,TR061,Trabzon,TUR,Turkey,67.08,0.0,83.49,53.78,100.18,114.41,143.53,115.73,152.62,95.73,156.31,78.02,77.91,161.45,150.32999999999998,55.07,112.08,48.84,117.46,0.0,0.0
820,TR061012,Of,TR061,Trabzon,TUR,Turkey,0.0,0.0,12.69,15.3,2.19,12.299999999999999,0.0,4.32,0.86,9.02,0.0,11.9,4.16,4.73,6.38,6.08,9.98,13.45,12.540000000000001,3.91,0.0
821,TR061013,Ortahisar,TR061,Trabzon,TUR,Turkey,30.689999999999998,73.3,58.67999999999999,41.629999999999995,35.08,57.66,60.97,54.57,58.51,51.50999999999999,52.58,43.82,50.209999999999994,44.19,47.39,56.57000000000001,55.34,47.04,42.44,14.2,3.2
822,TR061014,Surmene,TR061,Trabzon,TUR,Turkey,2.81,0.05,0.0,5.3,5.04,0.33999999999999997,4.89,2.41,2.2,0.12,0.0,2.97,0.0,0.0,6.08,5.12,2.87,2.67,4.13,0.0,0.0
823,TR061015,Salpazari,TR061,Trabzon,TUR,Turkey,0.0,0.0,40.99,27.96,38.07,41.04,56.54,24.82,5.42,40.59,12.34,34.42,58.06,58.04,14.94,28.64,45.84,27.61,45.52,31.53,0.0
824,TR061016,Tonya,TR061,Trabzon,TUR,Turkey,102.95,157.26,137.38,132.08,139.99,145.66,143.29,67.56,104.75999999999999,157.94,157.33,136.45,157.57,156.84,150.66,111.27,136.59,127.23,123.58,64.2,0.0
825,TR061017,Vakfikebir,TR061,Trabzon,TUR,Turkey,28.71,0.0,0.0,14.64,20.57,18.43,7.11,0.01,28.13,19.8,30.34,18.27,17.580000000000002,28.9,5.36,22.53,18.22,12.1,25.84,25.130000000000003,0.0
826,TR061018,Yomra,TR061,Trabzon,TUR,Turkey,3.02,6.84,0.0,7.0600000000000005,9.27,6.21,10.24,4.72,0.0,5.3500000000000005,5.44,0.0,9.43,0.0,10.51,11.66,4.84,5.37,3.28,0.0,0.0
827,TR062001,Cemisgezek,TR062,Tunceli,TUR,Turkey,25526.550000000003,21450.479999999996,24596.329999999998,19112.87,20467.870000000003,18168.120000000003,15941.460000000003,20214.25,20673.939999999995,20879.190000000002,20285.270000000004,17204.36,15156.179999999998,7053.98,5470.650000000001,13827.2,7467.22,14203.370000000004,19640.569999999996,17856.38,17347.16
828,TR062002,Hozat,TR062,Tunceli,TUR,Turkey,1565.15,6245.59,5148.79,3769.8,4667.38,5095.9,1170.06,5605.370000000001,1376.03,2184.66,1362.6100000000001,2143.92,1179.78,1019.09,4225.36,4771.62,1348.7800000000002,1271.09,4627.790000000001,5095.099999999999,4826.19
829,TR062003,Mazgirt,TR062,Tunceli,TUR,Turkey,21777.53,26056.260000000002,23022.940000000002,23598.410000000003,9085.25,22052.77,3544.4,22502.16,19603.37,21823.92,17200.37,11994.169999999998,21169.48,10738.529999999999,21051.940000000002,20948.629999999997,16195.960000000001,5458.4400000000005,14938.76,18870.15,16953.239999999998
830,TR062004,Nazimiye,TR062,Tunceli,TUR,Turkey,321.28000000000003,240.78,568.02,429.44,228.26,276.81,150.12,489.45,551.36,468.04,345.69,341.6,131.03,148.96,196.03000000000003,232.49,181.89,152.55,247.07,38.68,103.71
831,TR062005,Ovacik,TR062,Tunceli,TUR,Turkey,10129.01,10650.17,8035.83,7105.99,8382.8,8261.49,11369.96,10641.22,3260.55,11667.11,2952.4,2892.9500000000003,6739.179999999999,4127.070000000001,2808.49,7841.97,3772.8900000000003,5822.07,10002.4,7013.34,6316.76
832,TR062006,Pertek,TR062,Tunceli,TUR,Turkey,16968.18,15126.569999999998,17568.390000000003,14681.91,15808.450000000003,16875.39,16062.81,21075.71,13108.420000000002,16168.229999999998,9309.47,9305.7,8415.08,8285.330000000002,15628.81,16858.739999999998,4803.37,13864.640000000001,15355.450000000003,14529.390000000001,14075.579999999998
833,TR062007,Pulumur,TR062,Tunceli,TUR,Turkey,286.31,438.0,257.36,432.6,393.66999999999996,363.3,319.88,620.64,116.98,584.0699999999999,434.8,283.85,722.1099999999999,426.51,410.15999999999997,582.76,281.38,361.40999999999997,576.95,107.74,244.22
834,TR062008,Tunceli,TR062,Tunceli,TUR,Turkey,3976.1100000000006,4823.93,6454.569999999999,1956.8600000000001,3272.58,2840.16,1106.7,3185.63,2607.0299999999997,2049.15,1342.88,3644.2999999999997,928.9,1520.6000000000001,2846.1,4072.4500000000003,1512.54,1716.3600000000001,935.6,4542.94,4795.369999999999
835,TR063001,Akcakale,TR063,Sanliurfa,TUR,Turkey,61333.799999999996,70736.65,69634.37,75105.70999999999,72577.70999999999,81313.37999999999,95044.62999999999,83353.34,82957.87,159881.51,82689.33,79941.76,82959.06999999999,92331.11000000002,92371.09,91251.57999999999,92769.9,95136.22,100008.43,98800.91,30822.59
836,TR063002,Birecik,TR063,Sanliurfa,TUR,Turkey,40185.369999999995,53217.649999999994,68141.45000000001,78044.94,22213.64,47510.54000000001,66337.07,66583.2,63008.40000000001,61024.92,61524.85,48994.15000000001,74377.66,29944.85,81344.37999999999,29419.65,71730.89,25709.410000000003,73755.55,53559.22,57310.990000000005
837,TR063003,Bozova,TR063,Sanliurfa,TUR,Turkey,92315.98999999999,105858.02,33661.4,153607.56,55644.11,134104.66,115417.47,62211.11,142193.90000000002,118732.28000000001,127450.72,70850.23000000001,146473.0,58596.32,144674.65,115789.3,133088.34,66386.11,129941.93999999999,104530.93000000001,101420.95000000001
838,TR063004,Ceylanpinar,TR063,Sanliurfa,TUR,Turkey,73153.59000000001,60813.52,43850.54,41512.06,49182.89,162720.52,197092.10000000003,52403.880000000005,140696.39,176723.25,108471.13,78162.76000000001,122712.55,74642.0,74257.74,181265.61,138939.45,70698.07,88599.06,83834.92000000001,99941.16
839,TR063005,Eyyubiye,TR063,Sanliurfa,TUR,Turkey,54216.1,56916.850000000006,54517.08,60492.01,58200.799999999996,61214.04,140528.5,61619.04,60689.67999999999,118334.15,61990.35,61028.02,66060.73000000001,68769.95999999999,68330.95,67169.46999999999,66497.37999999999,69597.18000000001,73492.65,74112.32,102294.79000000001
840,TR063006,Halfeti,TR063,Sanliurfa,TUR,Turkey,36565.32000000001,39843.030000000006,10887.73,56897.740000000005,11660.59,12578.740000000002,47658.39,18406.39,46150.84,43143.590000000004,24208.07,10034.27,55146.59000000001,10399.07,54457.69,7898.85,56176.270000000004,12670.7,43926.59,11098.9,42071.66
841,TR063007,Haliliye,TR063,Sanliurfa,TUR,Turkey,101503.06000000001,47756.85,72150.87999999999,55741.380000000005,56628.579999999994,58845.97,179913.89,67916.36,65572.58,168618.27,59210.93,61422.51,75647.48999999999,66262.65000000001,69323.76000000001,163004.61,128777.00000000001,153693.56,204533.75999999998,91121.15000000001,137765.47000000003
842,TR063008,Harran,TR063,Sanliurfa,TUR,Turkey,60159.740000000005,62682.17,60739.29000000001,65471.86,63520.97,73628.09999999999,146718.43000000002,73924.73,75206.45,120170.30999999998,75424.45,75931.35,78189.01,80761.67000000001,78744.44,78248.27,78303.73000000001,78669.66,81553.83,82352.48,31253.94
843,TR063009,Hilvan,TR063,Sanliurfa,TUR,Turkey,110009.62,114607.15,23539.630000000005,125024.59,82197.42,27996.269999999997,20200.14,121448.54000000001,115692.70000000001,101540.92,120414.07,30156.960000000003,33681.63,31405.579999999998,31516.010000000002,35865.08,41597.5,39656.78,137666.51,45234.83,103037.90999999999
844,TR063010,Karakopru,TR063,Sanliurfa,TUR,Turkey,66051.17,72908.22,37611.08,33205.979999999996,24883.86,81570.84,40868.59,88019.34999999999,86973.1,87285.22000000002,50571.86,29802.25,109556.37000000002,30575.68,103292.91999999998,20185.08,103772.60000000002,31995.68,100815.63,38932.079999999994,77674.19999999998
845,TR063011,Siverek,TR063,Sanliurfa,TUR,Turkey,349810.88,362058.62,277977.05,315548.8500000001,370897.88,243776.96000000002,360403.94999999995,233480.88,380143.51999999996,395211.79,377591.8600000001,197544.42000000004,353440.97000000003,102354.03,102518.61,290349.47,372887.43999999994,375690.07,263039.49,139364.71,317950.77
846,TR063012,Suruc,TR063,Sanliurfa,TUR,Turkey,20949.57,27496.18,22528.93,33892.36,23833.51,18891.800000000003,12345.560000000001,18418.18,20713.43,85194.93999999999,38047.409999999996,20479.899999999998,116798.85,45794.1,113535.51999999999,57529.97,60326.850000000006,64255.79,129008.02,57845.229999999996,76560.06999999999
