ID,adm2_src,adm2_name,adm1_src,adm1_name,adm0_src,adm0_name,2003_annual,2004_annual,2005_annual,2006_annual,2007_annual,2008_annual,2009_annual,2010_annual,2011_annual,2012_annual,2013_annual,2014_annual,2015_annual,2016_annual,2017_annual,2018_annual,2019_annual,2020_annual,2021_annual,2022_annual,2023_annual
533,TR038016,Yesilhisar,TR038,Kayseri,TUR,Turkey,410.8782182173295,391.04833762428973,425.5696105957031,367.1642811168324,423.4003825794567,342.09377829811785,518.6151816628196,551.2891296386719,451.4693298339845,490.5549948952415,366.99368646795097,387.4318581321023,426.70728759765626,426.1041404030539,342.06905351118604,532.946499078924,409.38390391956676,363.9945725874468,412.7117509321734,380.75310585715556,335.4191733620384
534,TR039001,Babaeski,TR039,Kirklareli,TUR,Turkey,623.2925102927468,636.6732677112926,713.9261543967506,627.1114973588423,705.2635095769709,390.4492284601385,814.2422360506926,898.8900742964312,587.3158291903409,630.8540045998313,610.065321488814,871.6614879261365,548.2113134210759,632.325668334961,813.5102039683951,873.3199344981799,586.255952314897,516.9491029219193,804.509428544478,447.49370366876775,371.7104693326082
535,TR039002,Demirkoy,TR039,Kirklareli,TUR,Turkey,594.8591029280324,624.4849512132548,666.3781262413929,620.4102948722191,635.9998768951933,420.2344608630164,835.4442759368379,858.3792848748675,557.8725503177966,630.7465892727093,552.4114612644003,868.7305887513241,516.3649917861163,551.3322464247881,803.3327440164858,843.6415622517214,548.7028074102886,511.6798695709746,678.347870390294,449.5583744372352,345.6826461533368
536,TR039003,Kirklareli,TR039,Kirklareli,TUR,Turkey,620.8929357910156,644.21623046875,703.914091796875,626.7910961914063,706.2334338378905,425.73799072265626,858.2627148437501,892.5980822753907,582.0279583740235,639.4416748046874,599.7403942871093,862.8957202148438,542.4700524902343,609.889677734375,806.7130419921875,840.666163330078,575.0432617187499,514.9180731201172,739.4893310546875,453.71145019531247,353.9930792236328
537,TR039004,Kofcaz,TR039,Kirklareli,TUR,Turkey,646.6064436629013,678.7608296162373,791.5884976773648,660.5207453547298,750.0711150298248,468.99779201198277,892.6988970782304,929.0060449548671,595.6823334565033,662.3114549791492,623.7259406012458,947.8001544024493,603.4938387484165,649.5131456529771,833.158229518581,852.8551371806377,622.1439044024493,538.3194010966533,764.5849559887035,481.5922274202914,384.7792358398437
538,TR039005,Luleburgaz,TR039,Kirklareli,TUR,Turkey,598.7688578621286,635.5989760101818,657.9324230756916,600.0207319415983,649.7201718189677,395.43177170049955,761.853946873399,866.4596187403945,565.7243782418673,606.8307024846312,578.6870947665857,822.2254218429817,510.11532542744624,591.4739299836706,774.8493792424435,859.317195704726,550.3958460073002,507.8715665223168,705.9208344006147,438.8508951155865,354.5341566742443
539,TR039006,Pehlivankoy,TR039,Kirklareli,TUR,Turkey,628.7154006958009,633.6040191650391,750.9329775296725,664.8633305476262,734.9890617957482,391.2086903498723,802.1588662954476,902.4883622389574,592.8161967350886,648.663362943209,633.9206918569713,891.7433471679688,587.2402015099159,641.7702507605919,842.8649291992188,881.1718538724459,620.1210667536809,534.8260650634766,844.6552734375,468.3931262676532,391.4740043053261
540,TR039007,Pinarhisar,TR039,Kirklareli,TUR,Turkey,626.2338655259873,658.9577348497178,672.104955037435,634.1483052571615,668.3290379842122,423.0851923624674,819.1800910101997,884.9108462863497,585.1051406860352,635.7592129177517,582.0797008938259,849.0065561930339,509.0344696044922,579.9726325141058,798.9463704427084,874.2435353597004,572.2337697347006,531.1584142049154,702.7186143663195,462.2574657864041,348.34451972113715
541,TR039008,Vize,TR039,Kirklareli,TUR,Turkey,597.8810292119565,631.5192649951879,659.4306162958561,609.666351760643,619.4718176800274,432.2825892351676,787.2932801177536,836.0174507472826,556.0703324027684,618.4573196189991,539.8764586517776,819.9130204795063,513.3052040874095,555.3444408472035,764.9930543761322,839.2661928923234,543.3458092730979,511.173558331918,636.0835686282836,465.04185596410775,332.18876139322913
542,TR040001,Akcakent,TR040,Kirsehir,TUR,Turkey,403.3709090660358,361.0701225543844,483.6353691364157,390.65319824218756,427.51287578714306,394.96014141214306,573.0864983920394,615.0584485284213,415.53150624242323,513.9889589507004,358.59656603582977,549.1629212478113,475.7914191936625,504.70830772662976,416.172096515524,597.2026225122912,501.6219903353987,352.4724505194302,435.4340420426994,434.4156378384295,413.03129709178006
